iter	Passed	Remaining
479	684	741
480	686	740
481	687	738
482	688	737
483	690	735
484	691	734
485	693	733
486	694	731
487	695	730
488	697	728
489	698	727
490	699	725
491	701	724
492	702	722
493	704	721
494	705	719
495	706	718
496	708	716
497	709	715
498	711	713
499	712	712
500	713	710
501	715	709
502	716	707
503	717	706
504	719	705
505	720	703
506	722	702
507	723	700
508	724	699
509	726	697
510	727	696
511	728	694
512	730	693
513	731	691
514	733	690
515	734	688
516	735	687
517	737	686
518	738	684
519	740	683
520	741	681
521	742	680
522	744	678
523	745	677
524	747	675
525	748	674
526	749	673
527	751	671
528	752	670
529	754	668
530	755	667
531	757	666
532	758	664
533	760	663
534	761	662
535	763	660
536	765	659
537	766	658
538	767	656
539	769	655
540	770	654
541	772	652
542	773	651
543	775	649
544	776	648
545	778	647
546	779	645
547	781	644
548	782	643
549	784	641
550	785	640
551	786	638
552	788	637
553	789	635
554	791	634
555	792	632
556	793	631
557	795	629
558	796	628
559	798	627
560	799	625
561	800	624
562	802	622
563	803	621
564	805	619
565	806	618
566	807	616
567	809	615
568	810	613
569	811	612
570	813	610
571	814	609
572	815	608
573	817	606
574	818	605
575	820	603
576	821	602
577	822	600
578	824	599
579	825	597
580	827	596
581	828	594
582	829	593
583	831	592
584	832	590
585	833	589
586	835	587
587	836	586
588	838	584
589	839	583
590	840	581
591	842	580
592	843	579
593	845	577
594	846	576
595	847	574
596	849	573
597	850	571
598	851	570
599	853	568
600	854	567
601	856	566
602	857	564
603	858	563
604	860	561
605	861	560
606	863	558
607	864	557
608	865	555
609	867	554
610	868	553
611	870	551
612	871	550
613	872	548
614	874	547
615	875	545
616	877	544
617	878	543
618	879	541
619	881	540
620	882	538
621	884	537
622	885	535
623	886	534
624	888	532
625	889	531
626	891	530
627	892	528
628	893	527
629	895	525
630	896	524
631	898	522
632	899	521
633	900	520
634	902	518
635	903	517
636	905	515
637	906	514
638	907	512
639	909	511
640	910	509
641	911	508
642	913	507
643	914	505
644	916	504
645	917	502
646	918	501
647	920	499
648	921	498
649	923	497
650	924	495
651	925	494
652	927	492
653	928	491
654	930	489
655	931	488
656	932	486
657	934	485
658	935	484
659	937	482
660	938	481
661	939	479
662	941	478
663	942	477
664	944	475
665	945	474
666	946	472
667	948	471
668	950	470
669	951	468
670	953	467
671	954	465
672	956	464
673	957	463
674	959	461
675	960	460
676	962	459
677	963	457
678	965	456
679	966	454
680	967	453
681	969	451
682	970	450
683	972	449
684	973	447
685	974	446
686	976	444
687	977	443
688	979	441
689	980	440
690	981	439
691	983	437
692	984	436
693	986	434
694	987	433
695	989	432
696	991	430
697	992	429
698	994	428
699	995	426
700	997	425
701	999	424
702	1000	422
703	1002	421
704	1003	420
705	1005	418
706	1007	417
707	1008	415
708	1010	414
709	1011	413
710	1013	411
711	1014	410
