iter	Accuracy	Logloss
279	0.8765110216	0.3127646889
280	0.8765110216	0.3127000948
281	0.8767480446	0.3125744395
282	0.8762739986	0.3124996276
283	0.8762739986	0.3124554691
284	0.8762739986	0.3123390529
285	0.8762739986	0.3122834962
286	0.8762739986	0.3121061459
287	0.8765110216	0.3118948615
288	0.8767480446	0.3117349178
289	0.8769850676	0.3116754329
290	0.8772220905	0.3114932768
291	0.8772220905	0.3112596786
292	0.8774591135	0.3112054403
293	0.8776961365	0.3110829695
294	0.8776961365	0.3108444755
295	0.8779331595	0.3106847181
296	0.8776961365	0.3106592567
297	0.8779331595	0.3103789818
298	0.8779331595	0.3102169821
299	0.8781701825	0.3101173838
300	0.8779331595	0.3099549648
301	0.8776961365	0.3098255811
302	0.8776961365	0.3096908501
303	0.8776961365	0.3096189953
304	0.8776961365	0.3093921425
305	0.8776961365	0.3092860202
306	0.8776961365	0.3091525332
307	0.8776961365	0.3090791962
308	0.8776961365	0.3088717995
309	0.8779331595	0.3087524433
310	0.8779331595	0.3086277653
311	0.8779331595	0.3085639486
312	0.8779331595	0.3081988876
313	0.8781701825	0.307991249
314	0.8784072055	0.3079418487
315	0.8786442285	0.3077578098
316	0.8786442285	0.3075617103
317	0.8788812515	0.3074036747
318	0.8795923205	0.3071799542
319	0.8798293434	0.3070490393
320	0.8798293434	0.306868885
321	0.8795923205	0.3068015004
322	0.8798293434	0.3066491811
323	0.8793552975	0.3064561573
324	0.8793552975	0.3062634556
325	0.8793552975	0.306054003
326	0.8793552975	0.3058790798
327	0.8793552975	0.3057944777
328	0.8795923205	0.3055650623
329	0.8795923205	0.305460278
330	0.8795923205	0.3053737092
331	0.8795923205	0.3052276921
332	0.8795923205	0.3050336536
333	0.8798293434	0.3049096817
334	0.8800663664	0.3047919413
335	0.8798293434	0.3045513858
336	0.8798293434	0.3043999056
337	0.8798293434	0.3043572521
338	0.8798293434	0.3042952824
339	0.8800663664	0.3041507693
340	0.8800663664	0.3040495683
341	0.8800663664	0.3038067112
342	0.8800663664	0.3037018894
343	0.8800663664	0.3036146454
344	0.8800663664	0.3035621782
345	0.8800663664	0.3034374565
346	0.8800663664	0.3032903917
347	0.8800663664	0.3030458649
348	0.8800663664	0.3029306656
349	0.8800663664	0.3028209254
350	0.8803033894	0.302742878
351	0.8803033894	0.3025978304
352	0.8803033894	0.3023090694
353	0.8803033894	0.3021486131
354	0.8803033894	0.3020285361
355	0.8805404124	0.3019069028
356	0.8807774354	0.3017151979
357	0.8807774354	0.3015838505
358	0.8807774354	0.3014828387
359	0.8812514814	0.3012992042
360	0.8812514814	0.3012329267
361	0.8810144584	0.301093833
362	0.8812514814	0.300906244
363	0.8814885044	0.3007572562
364	0.8812514814	0.3007108168
365	0.8812514814	0.3005636125
366	0.8812514814	0.3004721562
367	0.8812514814	0.3003781474
368	0.8814885044	0.3003366217
369	0.8814885044	0.3002196281
370	0.8817255274	0.3001001189
371	0.8814885044	0.299887706
372	0.8817255274	0.2997730381
373	0.8817255274	0.299519742
374	0.8817255274	0.299468221
375	0.8819625504	0.2993527409
376	0.8819625504	0.2992573595
377	0.8819625504	0.2991680868
378	0.8819625504	0.2991060653
379	0.8819625504	0.2989371743
380	0.8819625504	0.2987925784
381	0.8819625504	0.298680029
382	0.8819625504	0.2986021855
383	0.8821995734	0.2984946666
384	0.8821995734	0.2983373421
385	0.8819625504	0.2982239736
386	0.8819625504	0.2980704516
387	0.8819625504	0.297933462
388	0.8819625504	0.297863847
389	0.8824365963	0.2977811208
390	0.8824365963	0.2976542438
391	0.8824365963	0.2975749941
392	0.8819625504	0.2974477516
393	0.8819625504	0.2973497141
394	0.8821995734	0.2972715542
395	0.8824365963	0.2971341046
396	0.8826736193	0.2970045898
397	0.8826736193	0.2968409607
398	0.8826736193	0.2966945427
399	0.8826736193	0.296530143
400	0.8826736193	0.2964354215
401	0.8829106423	0.296356145
402	0.8829106423	0.296110514
403	0.8826736193	0.2960111629
404	0.8829106423	0.295907018
405	0.8829106423	0.2956764536
406	0.8829106423	0.295595447
407	0.8831476653	0.2955038933
408	0.8831476653	0.2952198041
409	0.8829106423	0.2951042805
410	0.8831476653	0.2949443793
411	0.8831476653	0.2948556982
412	0.8831476653	0.29464477
413	0.8831476653	0.2944448084
414	0.8838587343	0.2942492947
415	0.8838587343	0.2939750937
416	0.8836217113	0.2937514567
417	0.8833846883	0.2936948143
418	0.8833846883	0.2936348391
419	0.8831476653	0.2935638837
420	0.8833846883	0.2934059423
421	0.8833846883	0.2933511952
422	0.8838587343	0.2932583809
423	0.8838587343	0.2931442636
424	0.8838587343	0.2930329798
425	0.8838587343	0.2928362483
426	0.8838587343	0.292739309
427	0.8838587343	0.2926457333
428	0.8838587343	0.2925399094
429	0.8840957573	0.2924188318
430	0.8840957573	0.2923458025
431	0.8845698033	0.2922184276
432	0.8850438493	0.2920840129
433	0.8850438493	0.2918992411
434	0.8850438493	0.2918045148
435	0.8848068263	0.291665127
436	0.8843327803	0.2915262015
437	0.8843327803	0.2914058
438	0.8845698033	0.2912517627
439	0.8850438493	0.2911357319
440	0.8855178952	0.2909915295
441	0.8855178952	0.2908815414
442	0.8857549182	0.2906255216
443	0.8857549182	0.2904947452
444	0.8855178952	0.290384353
445	0.8862289642	0.2901515017
446	0.8857549182	0.2901019628
447	0.8859919412	0.2899854
448	0.8864659872	0.2898328542
449	0.8859919412	0.2897785166
450	0.8862289642	0.2897235119
451	0.8857549182	0.2896298933
452	0.8857549182	0.2895062027
453	0.8850438493	0.2894490787
454	0.8857549182	0.2892326586
455	0.8859919412	0.2890975445
